Ref,Val,Package,PosX,PosY,Rot,Side
"C401","470uF","GEN_CP_Radial_D8_P3.5",99.250000,-5.000000,0.000000,top
"U901","ESP32-S3-WROOM-1-N8R8","RF_Module:ESP32-S3-WROOM-1",75.250000,23.000000,0.000000,top
"J201","IR_RX","GEN_PinHeader_1x3_P2.54",92.250000,23.000000,0.000000,top
"J202","IR_TX","GEN_PinHeader_1x3_P2.54",92.250000,13.000000,0.000000,top
"J301","LED_CHAIN","GEN_PinHeader_1x3_P2.54",92.250000,3.000000,0.000000,top
"J302","LCD_I2C","GEN_PinHeader_1x4_P2.54",92.250000,-7.000000,0.000000,top
"R401","330R","GEN_R_Axial_7.62mm",75.250000,3.000000,0.000000,top
"SW1","SW_Push","MX_1U_Custom",9.525000,-9.525000,0.000000,top
"SW2","SW_Push","MX_1U_Custom",9.525000,-33.337000,0.000000,top
"SW3","SW_Push","MX_1U_Custom",28.575000,-33.337000,0.000000,top
"SW4","SW_Push","MX_1U_Custom",47.625000,-33.337000,0.000000,top
"SW5","SW_Push","MX_1U_Custom",66.675000,-33.337000,0.000000,top
"SW6","SW_Push","MX_1U_Custom",85.725000,-33.337000,0.000000,top
"SW7","SW_Push","MX_1U_Custom",9.525000,-52.388000,0.000000,top
"SW8","SW_Push","MX_1U_Custom",28.575000,-52.388000,0.000000,top
"SW9","SW_Push","MX_1U_Custom",47.625000,-52.388000,0.000000,top
"SW10","SW_Push","MX_1U_Custom",66.675000,-52.388000,0.000000,top
"SW11","SW_Push","MX_1U_Custom",85.725000,-52.388000,0.000000,top
"SW12","SW_Push","MX_1U_Custom",9.525000,-71.438000,0.000000,top
"SW13","SW_Push","MX_1U_Custom",28.575000,-71.438000,0.000000,top
"SW14","SW_Push","MX_1U_Custom",47.625000,-71.438000,0.000000,top
"SW15","SW_Push","MX_1U_Custom",66.675000,-71.438000,0.000000,top
"SW16","SW_Push","MX_1U_Custom",85.725000,-71.438000,0.000000,top
"SW17","SW_Push","MX_1U_Custom",9.525000,-90.487000,0.000000,top
"SW18","SW_Push","MX_1U_Custom",28.575000,-90.487000,0.000000,top
"SW19","SW_Push","MX_1U_Custom",47.625000,-90.487000,0.000000,top
"SW20","SW_Push","MX_1U_Custom",66.675000,-90.487000,0.000000,top
"SW21","SW_Push","MX_1U_Custom",85.725000,-90.487000,0.000000,top
"SW22","SW_Push","MX_1U_Custom",9.525000,-109.538000,0.000000,top
"SW23","SW_Push","MX_1U_Custom",28.575000,-109.538000,0.000000,top
"SW24","SW_Push","MX_1U_Custom",47.625000,-109.538000,0.000000,top
"SW25","SW_Push","MX_1U_Custom",66.675000,-109.538000,0.000000,top
"SW26","SW_Push","MX_1U_Custom",85.725000,-109.538000,0.000000,top
"SW401","RotaryEncoder_Switch","GEN_RotaryEncoder_EC11_Switch",78.250000,-15.000000,0.000000,top
