Ref,Val,Package,PosX,PosY,Rot,Side
"D1","D","D_DO35_Custom",17.025000,-16.025000,180.000000,bottom
"D2","D","D_DO35_Custom",17.025000,-39.837000,180.000000,bottom
"D3","D","D_DO35_Custom",36.075000,-39.837000,180.000000,bottom
"D4","D","D_DO35_Custom",55.125000,-39.837000,180.000000,bottom
"D5","D","D_DO35_Custom",74.175000,-39.837000,180.000000,bottom
"D6","D","D_DO35_Custom",93.225000,-39.837000,180.000000,bottom
"D7","D","D_DO35_Custom",17.025000,-58.888000,180.000000,bottom
"D8","D","D_DO35_Custom",36.075000,-58.888000,180.000000,bottom
"D9","D","D_DO35_Custom",55.125000,-58.888000,180.000000,bottom
"D10","D","D_DO35_Custom",74.175000,-58.888000,180.000000,bottom
"D11","D","D_DO35_Custom",93.225000,-58.888000,180.000000,bottom
"D12","D","D_DO35_Custom",17.025000,-77.938000,180.000000,bottom
"D13","D","D_DO35_Custom",36.075000,-77.938000,180.000000,bottom
"D14","D","D_DO35_Custom",55.125000,-77.938000,180.000000,bottom
"D15","D","D_DO35_Custom",74.175000,-77.938000,180.000000,bottom
"D16","D","D_DO35_Custom",93.225000,-77.938000,180.000000,bottom
"D17","D","D_DO35_Custom",17.025000,-96.987000,180.000000,bottom
"D18","D","D_DO35_Custom",36.075000,-96.987000,180.000000,bottom
"D19","D","D_DO35_Custom",55.125000,-96.987000,180.000000,bottom
"D20","D","D_DO35_Custom",74.175000,-96.987000,180.000000,bottom
"D21","D","D_DO35_Custom",93.225000,-96.987000,180.000000,bottom
"D22","D","D_DO35_Custom",17.025000,-116.038000,180.000000,bottom
"D23","D","D_DO35_Custom",36.075000,-116.038000,180.000000,bottom
"D24","D","D_DO35_Custom",55.125000,-116.038000,180.000000,bottom
"D25","D","D_DO35_Custom",74.175000,-116.038000,180.000000,bottom
"D26","D","D_DO35_Custom",93.225000,-116.038000,180.000000,bottom
