Ref,Val,Package,PosX,PosY,Rot,Side
"C401","470uF","GEN_CP_Radial_D8_P3.5",99.250000,-5.000000,0.000000,top
"C402","1uF","C_0603_1608Metric_LOCAL",93.000000,-24.000000,0.000000,top
"C403","4.7uF","C_0603_1608Metric_LOCAL",94.000000,-27.000000,0.000000,top
"C404","10uF","C_0603_1608Metric_LOCAL",96.000000,-33.000000,0.000000,top
"C405","10uF","C_0603_1608Metric_LOCAL",100.000000,-33.000000,0.000000,top
"C406","100nF","C_0603_1608Metric_LOCAL",67.325000,26.990000,0.000000,top
"C407","22uF","C_0603_1608Metric_LOCAL",67.325000,25.500000,0.000000,top
"C408","10uF","C_0603_1608Metric_LOCAL",99.475000,-7.000000,0.000000,top
"C409","10uF","C_0603_1608Metric_LOCAL",98.962500,-12.950000,0.000000,top
"D401","SS14","D_SOD123_LOCAL",97.000000,-7.000000,0.000000,top
"D402","SS14_VBUS_TO_5VSYS","D_SOD123_LOCAL",54.295000,39.080000,0.000000,top
"F401","PTC_0.5A","R_0603_1608Metric_LOCAL",14.540000,36.500000,90.000000,top
"J201","TSOP4838_C124647","GEN_PinHeader_1x3_P2.54",98.250000,28.000000,0.000000,top
"J202","IR_LED_TX_HDR","GEN_PinHeader_1x3_P2.54",104.000000,22.000000,0.000000,top
"J301","LED_CHAIN","GEN_PinHeader_1x3_P2.54",32.000000,38.000000,0.000000,top
"J302","LCD_SPI_PWRDATA","GEN_PinHeader_1x4_P2.54",44.230000,6.500000,0.000000,top
"J303","LCD_SPI_CTRL","GEN_PinHeader_1x4_P2.54",34.190000,6.500000,0.000000,top
"J304","TOUCH_I2C_SD_IRQ","GEN_PinHeader_1x5_P2.54",56.850000,6.500000,0.000000,top
"J400","BATTERY_LIPO","GEN_PinHeader_1x2_P2.54",12.000000,38.000000,90.000000,top
"J401","BAT_CHG_BOOST","GEN_PinHeader_1x4_P2.54",22.000000,38.000000,0.000000,top
"J402","USB_C_CHG_IN","USB_C_Receptacle_GCT_USB4125_6P_LOCAL",51.125000,36.000000,0.000000,top
"JP403","SHIP_JUMPER","GEN_PinHeader_1x2_P2.54",12.000000,35.000000,-90.000000,top
"L401","4.7uH","L_Boost_5x5_LOCAL",6.000000,38.000000,0.000000,top
"Q501","AO3400A","SOT-23_LOCAL",96.500000,24.000000,0.000000,top
"R401","330R","R_0805_2012Metric_LOCAL",79.060000,3.000000,0.000000,top
"R402","5.1k","R_0603_1608Metric_LOCAL",48.500000,31.500000,0.000000,top
"R403","5.1k","R_0603_1608Metric_LOCAL",53.500000,31.500000,0.000000,top
"R404","3.3k","R_0603_1608Metric_LOCAL",97.000000,-22.000000,0.000000,top
"R405","162k","R_0603_1608Metric_LOCAL",96.000000,-36.000000,0.000000,top
"R406","22k","R_0603_1608Metric_LOCAL",96.000000,-39.000000,0.000000,top
"R408","100R","R_0603_1608Metric_LOCAL",92.000000,23.000000,0.000000,top
"R409","100k","R_0603_1608Metric_LOCAL",94.675000,24.950000,180.000000,top
"R410","47R","R_0805_2012Metric_LOCAL",102.125000,24.540000,0.000000,top
