Designator,Footprint,Quantity,Value,LCSC Part #
C401,GEN_CP_Radial_D8_P3.5,1,470uF,
C402,0603,1,1uF,
C403,0603,1,4.7uF,
"C404, C405, C408, C409",0603,4,10uF,
C406,0603,1,100nF,
C407,0603,1,22uF,
"D1, D10, D11, D12, D13, D14, D15, D16, D17, D18, D19, D2, D20, D21, D22, D23, D24, D25, D26, D3, D4, D5, D6, D7, D8, D9",D_DO35_Custom,26,D,
D401,D_SOD123_LOCAL,1,SS14,
D402,D_SOD123_LOCAL,1,SS14_VBUS_TO_5VSYS,
F401,0603,1,PTC_0.5A,
J201,GEN_PinHeader_1x3_P2.54,1,TSOP4838_C124647,
J202,GEN_PinHeader_1x3_P2.54,1,IR_LED_TX_HDR,
J301,GEN_PinHeader_1x3_P2.54,1,LED_CHAIN,
J302,GEN_PinHeader_1x4_P2.54,1,LCD_SPI_PWRDATA,
J303,GEN_PinHeader_1x4_P2.54,1,LCD_SPI_CTRL,
J304,GEN_PinHeader_1x5_P2.54,1,TOUCH_I2C_SD_IRQ,
J400,GEN_PinHeader_1x2_P2.54,1,BATTERY_LIPO,
J401,GEN_PinHeader_1x4_P2.54,1,BAT_CHG_BOOST,
J402,USB_C_Receptacle_GCT_USB4125_6P_LOCAL,1,USB_C_CHG_IN,
JP403,GEN_PinHeader_1x2_P2.54,1,SHIP_JUMPER,
L401,L_Boost_5x5_LOCAL,1,4.7uH,
Q501,SOT-23_LOCAL,1,AO3400A,
R401,0805,1,330R,
"R402, R403",0603,2,5.1k,
R404,0603,1,3.3k,
R405,0603,1,162k,
R406,0603,1,22k,
R407,0603,1,10k,
R408,0603,1,100R,
R409,0603,1,100k,
R410,0805,1,47R,
"RGB1, RGB10, RGB11, RGB12, RGB13, RGB14, RGB15, RGB16, RGB17, RGB18, RGB19, RGB2, RGB20, RGB21, RGB22, RGB23, RGB24, RGB25, RGB26, RGB3, RGB4, RGB5, RGB6, RGB7, RGB8, RGB9",RGB_PLACEHOLDER_3535,26,SK6812MINI,
"SW1, SW10, SW11, SW12, SW13, SW14, SW15, SW16, SW17, SW18, SW19, SW2, SW20, SW21, SW22, SW23, SW24, SW25, SW26, SW3, SW4, SW5, SW6, SW7, SW8, SW9",Kailh_Hotswap_MX_1U_Custom,26,SW_Push,
SW401,GEN_RotaryEncoder_EC11_Switch,1,RotaryEncoder_Switch,
SW402,SW_TACT_3x6_4P_LOCAL,1,SW_Push,
U402,SOT-223-3_TabPin2_LOCAL,1,AP7361C-33E,
U403,SOT-23-5_LOCAL,1,MCP73831,
U404,SOT-23-6_LOCAL,1,MT3608,
U901,ESP32-S3-WROOM-1_LOCAL,1,ESP32-S3-WROOM-1-N8R8,
