Designator,Mid X,Mid Y,Rotation,Layer
C401,101.0,-5.0,0.0,top
C402,93.0,-24.0,0.0,top
C403,94.0,-27.0,0.0,top
C404,96.0,-33.0,0.0,top
C405,100.0,-33.0,0.0,top
C406,67.325,26.99,0.0,top
C407,67.325,25.5,0.0,top
C408,99.475,-7.0,0.0,top
C409,98.9625,-12.95,0.0,top
D1,13.215,-16.025,0.0,bottom
D10,70.365,-58.888,0.0,bottom
D11,89.415,-58.888,0.0,bottom
D12,13.215,-77.938,0.0,bottom
D13,32.265,-77.938,0.0,bottom
D14,51.315,-77.938,0.0,bottom
D15,70.365,-77.938,0.0,bottom
D16,89.415,-77.938,0.0,bottom
D17,13.215,-96.987,0.0,bottom
D18,32.265,-96.987,0.0,bottom
D19,51.315,-96.987,0.0,bottom
D2,13.215,-39.837,0.0,bottom
D20,70.365,-96.987,0.0,bottom
D21,89.415,-96.987,0.0,bottom
D22,13.215,-116.038,0.0,bottom
D23,32.265,-116.038,0.0,bottom
D24,51.315,-116.038,0.0,bottom
D25,70.365,-116.038,0.0,bottom
D26,89.415,-116.038,0.0,bottom
D3,32.265,-39.837,0.0,bottom
D4,51.315,-39.837,0.0,bottom
D401,97.0,-7.0,0.0,top
D402,54.295,39.08,0.0,top
D5,70.365,-39.837,0.0,bottom
D6,89.415,-39.837,0.0,bottom
D7,13.215,-58.888,0.0,bottom
D8,32.265,-58.888,0.0,bottom
D9,51.315,-58.888,0.0,bottom
F401,14.54,36.5,90.0,top
J201,98.25,28.0,0.0,top
J202,104.0,22.0,0.0,top
J301,32.0,38.0,0.0,top
J302,44.23,6.5,0.0,top
J303,34.19,6.5,0.0,top
J304,55.58,6.5,0.0,top
J400,13.27,38.0,90.0,top
J401,22.0,38.0,0.0,top
J402,51.125,36.0,0.0,top
JP403,10.73,35.0,270.0,top
L401,6.0,38.0,0.0,top
Q501,96.5,24.0,180.0,top
R401,79.06,3.0,0.0,top
R402,48.5,31.5,0.0,top
R403,53.5,31.5,0.0,top
R404,97.0,-22.0,0.0,top
R405,96.0,-36.0,0.0,top
R406,96.0,-39.0,0.0,top
R407,67.5,27.0,90.0,bottom
R408,92.0,23.0,0.0,top
R409,94.675,24.95,180.0,top
R410,102.125,24.54,0.0,top
RGB1,9.525,-15.525,0.0,top
RGB10,66.675,-58.388,0.0,top
RGB11,85.725,-58.388,0.0,top
RGB12,9.525,-77.438,0.0,top
RGB13,28.575,-77.438,0.0,top
RGB14,47.625,-77.438,0.0,top
RGB15,66.675,-77.438,0.0,top
RGB16,85.725,-77.438,0.0,top
RGB17,9.525,-96.487,0.0,top
RGB18,28.575,-96.487,0.0,top
RGB19,47.625,-96.487,0.0,top
RGB2,9.525,-39.337,0.0,top
RGB20,66.675,-96.487,0.0,top
RGB21,85.725,-96.487,0.0,top
RGB22,9.525,-115.538,0.0,top
RGB23,28.575,-115.538,0.0,top
RGB24,47.625,-115.538,0.0,top
RGB25,66.675,-115.538,0.0,top
RGB26,85.725,-115.538,0.0,top
RGB3,28.575,-39.337,0.0,top
RGB4,47.625,-39.337,0.0,top
RGB5,66.675,-39.337,0.0,top
RGB6,85.725,-39.337,0.0,top
RGB7,9.525,-58.388,0.0,top
RGB8,28.575,-58.388,0.0,top
RGB9,47.625,-58.388,0.0,top
SW1,8.89,-7.085,0.0,top
SW10,66.04,-49.948,0.0,top
SW11,85.09,-49.948,0.0,top
SW12,8.89,-68.998,0.0,top
SW13,27.94,-68.998,0.0,top
SW14,46.99,-68.998,0.0,top
SW15,66.04,-68.998,0.0,top
SW16,85.09,-68.998,0.0,top
SW17,8.89,-88.047,0.0,top
SW18,27.94,-88.047,0.0,top
SW19,46.99,-88.047,0.0,top
SW2,8.89,-30.897,0.0,top
SW20,66.04,-88.047,0.0,top
SW21,85.09,-88.047,0.0,top
SW22,8.89,-107.098,0.0,top
SW23,27.94,-107.098,0.0,top
SW24,46.99,-107.098,0.0,top
SW25,66.04,-107.098,0.0,top
SW26,85.09,-107.098,0.0,top
SW3,27.94,-30.897,0.0,top
SW4,46.99,-30.897,0.0,top
SW401,8.0,10.0,0.0,top
SW402,72.0,4.0,180.0,bottom
SW5,66.04,-30.897,0.0,top
SW6,85.09,-30.897,0.0,top
SW7,8.89,-49.948,0.0,top
SW8,27.94,-49.948,0.0,top
SW9,46.99,-49.948,0.0,top
U402,98.0,34.0,180.0,top
U403,90.0,-22.0,180.0,top
U404,97.0,-12.0,180.0,top
U901,75.25,23.0,0.0,top
